epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
42,416.132,0.56637,0.38667,0.31812,0.0065,0.19597,1,0.99088,0.995,0.84506,1,0.99088,0.995,0.9581,0.69221,0.27713,0.29232,0.01839,0,0.0017294,0.0017294,0.0017294
43,425.464,0.55051,0.37979,0.32456,0.00626,0.16315,0.98693,0.96552,0.99306,0.87906,0.98693,0.96552,0.99306,0.97268,0.57215,0.30005,0.24505,0.01456,0,0.0017228,0.0017228,0.0017228
44,434.738,0.52414,0.35896,0.30018,0.00626,0.1593,0.99613,1,0.995,0.91893,0.99613,1,0.995,0.98068,0.4377,0.38048,0.14535,0.01113,0,0.0017162,0.0017162,0.0017162
45,444.121,0.53524,0.35243,0.2832,0.00659,0.12712,0.99838,1,0.995,0.85235,0.99838,1,0.995,0.93511,0.6764,0.30345,0.20027,0.01794,0,0.0017096,0.0017096,0.0017096
46,453.462,0.51435,0.3102,0.26384,0.00656,0.1624,0.99019,1,0.995,0.88987,0.99019,1,0.995,0.96709,0.52221,0.37406,0.23862,0.01344,0,0.001703,0.001703,0.001703
47,462.875,0.50064,0.33268,0.26499,0.00605,0.18672,0.96624,0.98712,0.993,0.88034,0.96624,0.98712,0.993,0.97723,0.60719,0.27744,0.26044,0.01665,0,0.0016964,0.0016964,0.0016964
48,472.115,0.50528,0.35252,0.274,0.00656,0.20158,0.99787,1,0.995,0.92062,0.99787,1,0.995,0.98331,0.41376,0.33365,0.12642,0.00998,0,0.0016898,0.0016898,0.0016898
49,481.517,0.51824,0.37918,0.30618,0.00645,0.24166,0.98689,0.96552,0.994,0.93705,0.98689,0.96552,0.994,0.95558,0.3922,0.45078,0.19398,0.00923,0,0.0016832,0.0016832,0.0016832
50,490.863,0.49872,0.38358,0.32532,0.00578,0.26283,0.92547,0.96552,0.99019,0.90626,0.92547,0.96552,0.99019,0.97185,0.46644,0.32669,0.30693,0.01197,0,0.0016766,0.0016766,0.0016766
51,500.132,0.4997,0.36474,0.28769,0.00597,0.20767,1,0.99842,0.995,0.94564,1,0.99842,0.995,0.93327,0.35375,0.33069,0.14895,0.00862,0,0.00167,0.00167,0.00167
