epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
51,782.452,0.97047,1.12116,0.62229,0.00374,0.52758,0.94031,0.95472,0.98469,0.77831,0.94031,0.95472,0.984,0.73314,0.81428,1.27892,0.37744,0.00418,0,0.001175,0.001175,0.001175
52,797.508,0.98924,1.1145,0.58385,0.00386,0.39463,0.95791,0.93939,0.98656,0.81229,0.95791,0.93939,0.98485,0.76751,0.78329,1.24707,0.29304,0.00402,0,0.0011585,0.0011585,0.0011585
53,812.276,0.91156,1.04637,0.48202,0.00346,0.4331,0.97629,0.93568,0.99039,0.77116,0.96838,0.9281,0.98559,0.73757,0.92888,1.20697,0.45569,0.00445,0,0.001142,0.001142,0.001142
54,826.802,0.95769,1.1472,0.54955,0.00375,0.48683,0.96161,0.94893,0.98237,0.80649,0.95394,0.94135,0.97969,0.75712,0.86237,1.17208,0.45402,0.00438,0,0.0011255,0.0011255,0.0011255
55,841.243,0.93748,1.07691,0.5316,0.00355,0.44202,0.96326,0.90909,0.98095,0.80136,0.96326,0.90909,0.98095,0.75212,0.81137,1.21309,0.35114,0.00411,0,0.001109,0.001109,0.001109
56,855.508,0.97241,1.05359,0.541,0.00378,0.4126,0.95234,0.90826,0.977,0.78039,0.95234,0.90826,0.977,0.70832,0.93051,1.30885,0.41433,0.00475,0,0.0010925,0.0010925,0.0010925
57,869.473,0.92208,1.05812,0.52296,0.00352,0.37125,0.90775,0.96907,0.98155,0.78372,0.90775,0.96907,0.98155,0.76127,0.84712,1.25655,0.36952,0.00411,0,0.001076,0.001076,0.001076
58,884.018,0.8924,1.00892,0.50194,0.00341,0.46645,0.97702,0.91667,0.98131,0.79179,0.97702,0.91667,0.98131,0.7655,0.91334,1.21291,0.35415,0.00501,0,0.0010595,0.0010595,0.0010595
59,898.159,0.98277,1.16574,0.5684,0.00388,0.46171,0.96801,0.90152,0.98164,0.8021,0.96801,0.90152,0.98164,0.77467,0.83784,1.17915,0.3478,0.00434,0,0.001043,0.001043,0.001043
60,912.455,0.92877,1.01954,0.52708,0.00349,0.42728,0.94631,0.93466,0.98532,0.77316,0.94631,0.93466,0.98532,0.75569,0.90033,1.26967,0.36369,0.00489,0,0.0010265,0.0010265,0.0010265
61,926.969,0.93839,1.03304,0.53702,0.00353,0.4642,0.93934,0.93856,0.97834,0.7952,0.93156,0.92809,0.97061,0.74055,0.79075,1.25399,0.33581,0.00415,0,0.00101,0.00101,0.00101
62,941.258,0.93347,1.03628,0.55619,0.00353,0.46681,0.95232,0.94697,0.98681,0.79253,0.95232,0.94697,0.98681,0.75205,0.81727,1.17209,0.31102,0.00415,0,0.0009935,0.0009935,0.0009935
63,955.503,0.94792,1.05873,0.54429,0.00356,0.4131,0.96221,0.98485,0.99007,0.80556,0.96221,0.98485,0.99007,0.75945,0.82337,1.16547,0.27962,0.00434,0,0.000977,0.000977,0.000977
64,969.91,0.86897,0.98758,0.44607,0.00339,0.37622,0.97398,0.96212,0.99021,0.83062,0.97398,0.96212,0.99021,0.77055,0.7602,1.1192,0.25797,0.00384,0,0.0009605,0.0009605,0.0009605
65,984.587,0.94533,1.04075,0.4944,0.00362,0.37868,0.92745,0.96845,0.98165,0.81458,0.92745,0.96845,0.98165,0.76372,0.757,1.15768,0.32419,0.00374,0,0.000944,0.000944,0.000944
66,999.126,0.95479,0.98988,0.50323,0.00361,0.41871,0.96151,0.95455,0.98633,0.80545,0.96151,0.95455,0.98633,0.77411,0.82779,1.09644,0.29712,0.0041,0,0.0009275,0.0009275,0.0009275
67,1013.46,0.91417,1.04936,0.5228,0.00352,0.45738,0.95189,0.89933,0.97484,0.80159,0.95189,0.89933,0.97484,0.73962,0.83049,1.20161,0.37715,0.00433,0,0.000911,0.000911,0.000911
68,1028.01,0.88561,1.01394,0.48144,0.00339,0.39848,0.9393,0.9697,0.98601,0.81028,0.9393,0.9697,0.98601,0.76771,0.76906,1.19529,0.30592,0.00387,0,0.0008945,0.0008945,0.0008945
69,1042.39,0.8891,0.97764,0.46413,0.00339,0.37494,0.93936,0.95455,0.98523,0.80017,0.93179,0.94697,0.97631,0.76755,0.77877,1.24321,0.32993,0.00419,0,0.000878,0.000878,0.000878
70,1056.74,0.8867,0.96892,0.45378,0.0034,0.40248,0.95566,0.97963,0.99237,0.81904,0.95566,0.97963,0.99237,0.76999,0.73459,1.15306,0.25931,0.00382,0,0.0008615,0.0008615,0.0008615
71,1071.46,0.88915,0.94531,0.4753,0.00331,0.39151,0.97758,0.93182,0.98264,0.79673,0.97758,0.93182,0.98264,0.77992,0.82512,1.10927,0.32064,0.00446,0,0.000845,0.000845,0.000845
72,1085.89,0.87304,0.98333,0.49664,0.0034,0.4183,0.96934,0.958,0.98424,0.82746,0.96934,0.958,0.98424,0.78593,0.69582,1.10439,0.28904,0.0035,0,0.0008285,0.0008285,0.0008285
73,1100.76,0.90043,0.9436,0.48343,0.00343,0.42197,0.9859,0.93939,0.99162,0.81534,0.9859,0.93939,0.99162,0.78825,0.69309,1.10961,0.25068,0.00363,0,0.000812,0.000812,0.000812
74,1115.52,0.89738,0.99666,0.49544,0.00343,0.45665,0.99213,0.95548,0.99338,0.7918,0.99213,0.95548,0.99338,0.77902,0.80292,1.12939,0.26139,0.00423,0,0.0007955,0.0007955,0.0007955
75,1130.01,0.94543,0.99986,0.49698,0.0036,0.36347,0.94089,0.96212,0.98751,0.7972,0.94089,0.96212,0.98751,0.76304,0.82531,1.13982,0.29243,0.00407,0,0.000779,0.000779,0.000779
76,1144.42,0.87247,0.97157,0.45467,0.0033,0.36048,0.97636,0.93873,0.9889,0.8333,0.97636,0.93873,0.9889,0.78174,0.74755,1.0854,0.26474,0.00378,0,0.0007625,0.0007625,0.0007625
77,1159.2,0.86087,0.9657,0.46565,0.0032,0.36248,0.97575,0.96212,0.9901,0.8199,0.97575,0.96212,0.9901,0.78394,0.74373,1.07688,0.25757,0.00389,0,0.000746,0.000746,0.000746
78,1173.73,0.85327,0.97453,0.49693,0.00328,0.409,0.96111,0.9697,0.99015,0.83724,0.96111,0.9697,0.99015,0.79147,0.70577,1.07869,0.27298,0.00366,0,0.0007295,0.0007295,0.0007295
